cdRef;nomValide
0;Abutilon theophrasti
0;Acacia baileyana
0;Acacia dealbata
0;Acacia karroo
0;Acacia longifolia
0;Acacia mearnsii
0;Acacia melanoxylon
0;Acacia paradoxa
0;Acacia pycnantha
0;Acacia retinodes
0;Acacia saligna
0;Acanthus mollis
0;Acer negundo
0;Acer platanoides subsp. platanoides
0;Acer pseudoplatanus
0;Acer saccharinum
0;Achillea crithmifolia
0;Achillea filipendulina
0;Achillea millefolium
0;Achnatherum calamagrostis
0;Acorus calamus
0;Adiantum capillus-veneris
0;Aegilops ventricosa
0;Aeonium arboreum
0;Aeonium spp.
0;Aesculus hippocastanum
0;Agave americana
0;Agave salmiana
0;Agave sisalana
0;Ageratina riparia
0;Ailanthus altissima
0;Akebia quinata
0;Albizia julibrissin
0;Albizia lebbeck
0;Alkanna lutea
0;Allium triquetrum
0;Alnus cordata
0;Alnus incana
0;Aloe arborescens
0;Aloe maculata
0;Alternanthera philoxeroides
0;Alyssum simplex
0;Amaranthus albus
0;Amaranthus blitoides
0;Amaranthus blitum
0;Amaranthus bouchonii
0;Amaranthus deflexus
0;Amaranthus graecizans
0;Amaranthus hybridus
0;Amaranthus retroflexus
0;Amaranthus spp.
0;Amaranthus viridis
0;Ambrosia artemisiifolia
0;Ambrosia coronopifolia
0;Ambrosia psilostachya
0;Ambrosia tenuifolia
0;Ambrosia trifida
0;Ammannia robusta
0;Ammannia x coccinea
0;Amorpha fruticosa
0;Anchusa officinalis
0;Andropogon virginicus
0;Anisantha madritensis
0;Anisantha rigida
0;Anthemis maritima
0;Anthoxanthum odoratum
0;Aponogeton distachyos
0;Aptenia cordifolia
0;Araujia sericifera
0;Arctotheca calendula
0;Ardisia crenata
0;Ardisia elliptica
0;Aristolochia altissima
0;Armoracia rusticana
0;Aronia arbutifolia
0;Artemisia annua
0;Artemisia arborescens
0;Artemisia verlotiorum
0;Aruncus dioicus
0;Arundina graminifolia
0;Arundo donax
0;Asclepias syriaca
0;Asparagus officinalis
0;Asphodelus albus
0;Aster laevis
0;Aster lanceolatus
0;Aster novae-angliae
0;Aster novi-belgii
0;Aster salignus
0;Aster squamatus
0;Aster spp.
0;Asystasia gangetica
0;Atriplex halimus
0;Atriplex hortensis
0;Aurinia saxatilis
0;Avena strigosa
0;Azolla filiculoides
0;Baccharis halimifolia
0;Bambusoideae spp.
0;Begonia cucullata
0;Begonia diadema
0;Begonia rex
0;Berberis darwinii
0;Berteroa incana
0;Beta trigyna
0;Bidens aurea
0;Bidens connata
0;Bidens frondosa
0;Bidens subalternans
0;Bituminaria bituminosa
0;Boehmeria penduliflora
0;Bothriochloa barbinodis
0;Bougainvillea spectabilis
0;Boussingaultia cordifolia
0;Brassica napus
0;Brassica procumbens
0;Breynia retusa
0;Bridelia micrantha
0;Bromopsis inermis
0;Bromus catharticus
0;Bromus inermis
0;Bromus tricodes
0;Bromus willdenowii
0;Broussonetia papyrifera
0;Buddleja davidii
0;Bunias orientalis
0;Cabomba caroliniana
0;Caesalpinia decapetala
0;Camelina sativa
0;Campsis
0;Campylopus introflexus
0;Carex vulpinoidea
0;Carpobrotus acinaciformis
0;Carpobrotus edulis
0;Casuarina equisetifolia
0;Casuarina glauca
0;Catalpa bignonioides
0;Cecropia peltata
0;Cedrus atlantica
0;Cenchrus clandestinus
0;Cenchrus longispinus
0;Cenchrus spinifex
0;Centaurea diffusa
0;Centaurea paniculata
0;Centranthus ruber
0;Centrosema virginianum
0;Cerastium tomentosum
0;Cerinthe minor
0;Ceratochloa cathartica
0;Ceratochloa sitchensis
0;Cestrum elegans
0;Chaerophyllum aureum
0;Chasmanthe aethiopica
0;Chasmanthe bicolor
0;Chasmanthe floribunda
0;Chenopodium ambrosioides
0;Chenopodium strictum
0;Chromolaena odorata
0;Chrysanthemoides monilifera
0;Cinchona pubescens
0;Cirsium erisithales
0;Cistus albidus
0;Claytonia perfoliata
0;Clematis flammula
0;Clematis viticella
0;Clidemia hirta
0;Clinopodium nepeta
0;Coix lacryma-jobi
0;Collomia grandiflora
0;Colocasia antiquorum
0;Colocasia esculenta
0;Commelina communis
0;Cocculus orbiculatus
0;Convolvulus dubius
0;Convolvulus sabatius
0;Conyza canadensis
0;Conyza floribunda
0;Conyza sumatrensis
0;Conyza spp.
0;Corispermum pallasii
0;Cornus alba
0;Cornus sericea
0;Coronopus didymus
0;Cortaderia selloana
0;Cota tinctoria
0;Cotoneaster dammeri
0;Cotoneaster divaricatus
0;Cotoneaster franchetii
0;Cotoneaster frigidus
0;Cotoneaster horizontalis
0;Cotoneaster lacteus
0;Cotoneaster salicifolius
0;Cotoneaster simonsii
0;Cotula australis
0;Cotula coronopifolia
0;Cotyledon orbiculata
0;Crassula helmsii
0;Crepis bursifolia
0;Crepis sancta
0;Crocosmia x crocosmiiflora
0;Crupina vulgaris
0;Cuphea ignea
0;Cuscuta australis
0;Cuscuta campestris
0;Cyathea cooperi
0;Cynosurus echinatus
0;Cymbalaria muralis
0;Cyperus difformis
0;Cyperus eragrostis
0;Cyperus esculentus
0;Cyperus glomeratus
0;Cyperus involucratus
0;Cyperus reflexus
0;Cyrtomium falcatum
0;Cytisus multiflorus
0;Cytisus striatus
0;Danthonia decumbens
0;Dasypyrum villosum
0;Datura inoxia
0;Datura stramonium
0;Datura wrightii
0;Delairea odorata
0;Delosperma cooperi
0;Desmodium intortum
0;Dichanthelium acuminatum
0;Dichrostachys cinerea
0;Digitalis purpurea
0;Digitaria aequiglumis
0;Diospyros digyna
0;Diospyros lotus
0;Dolichandra unguis-cati
0;Duchesnea indica
0;Dysphania ambrosioides
0;Dysphania botrys
0;Dysphania pumilio
0;Ecballium elaterium
0;Echinocystis lobata
0;Echinochloa muricata
0;Eclipta prostrata
0;Egeria densa
0;Ehrharta erecta
0;Eichhornia crassipes
0;Elaeagnus angustifolia
0;Elaeagnus x ebbingei
0;Eleocharis bonariensis
0;Eleusine indica
0;Eleusine tristachya
0;Elide asparagoides
0;Elodea canadensis
0;Elodea nuttalii
0;Epilobium adenocaulon
0;Epilobium brachycarpum
0;Epilobium ciliatum
0;Eragrostis cilianensis
0;Eragrostis mexicana
0;Eragrostis minor
0;Eragrostis pectinacea
0;Eragrostis pilosa
0;Eragrostis virescens
0;Erigeron annuus
0;Erigeron blakei
0;Erigeron bonariensis
0;Erigeron karvinskianus
0;Erigeron strigosus
0;Eriobotrya japonica
0;Erucastrum nasturtiifolium
0;Erysimum cheiri
0;Erythranthe guttata
0;Eschscholzia californica
0;Eucalyptus globulus
0;Euonymus japonicus
0;Euphorbia chamaesyce
0;Euphorbia dentata
0;Euphorbia esula
0;Euphorbia humifusa
0;Euphorbia lathyris
0;Euphorbia maculata
0;Euphorbia polygonifolia
0;Euphorbia prostrata
0;Euphorbia serpens
0;Euphorbia spp.
0;Euphorbia x pseudovirgata
0;Evonymus japonicus
0;Fallopia aubertii
0;Fallopia baldschuanica
0;Ficus carica
0;Fragaria vesca
0;Fraxinus floribunda
0;Fraxinus ornus
0;Fraxinus pennsylvanica
0;Freesia alba
0;Fuchsia boliviana
0;Fuchsia magellanica
0;Fuchsia x exoniensis
0;Furcraea foetida
0;Galega officinalis
0;Galinsoga parviflora
0;Galinsoga quadriradiata
0;Gamochaeta americana
0;Gamochaeta falcata
0;Gaura lindheimeri
0;Gazania rigens
0;Geranium endressii
0;Geranium robertianum
0;Gleditsia triacanthos
0;Glyceria striata
0;Glycyrrhiza glabra
0;Gomphocarpus fruticosus
0;Hakea salicifolia
0;Hakea sericea
0;Halophila stipulacea
0;Hedera helix
0;Hedychium coccineum
0;Hedychium gardnerianum
0;Hedypnois rhagadioloides
0;Helianthus tuberosus
0;Helianthus spp.
0;Helianthus x laetiflorus
0;Heliotropium curassavicum
0;Helleborus viridis
0;Hemerocallis fulva
0;Heracleum mantegazzianum
0;Heracleum persicum
0;Heracleum sosnowskyi
0;Heteranthera limosa
0;Heteranthera reniformis
0;Hiptage benghalensis
0;Hirschfeldia incana
0;Holcus lanatus
0;Humulus japonicus
0;Humulus scandens
0;Hydrangea macrophylla
0;Hydrilla verticillata
0;Hydrocotyle ranunculoides
0;Hyparrhenia hirta
0;Hypericum calycinum
0;Hypericum gentianoides
0;Hypericum majus
0;Hypochaeris radicata
0;Hyssopus officinalis
0;Iberis semperflorens
0;Impatiens balfouri
0;Impatiens capensis
0;Impatiens glandulifera
0;Impatiens parviflora
0;Imperata cylindrica
0;Impatiens walleriana
0;Ipomoea indica
0;Iris germanica
0;Isatis tinctoria
0;Jarava caudata
0;Juglans regia
0;Juncus tenuis
0;Justicia carnea
0;Justicia gendarussa
0;Kalanchoe delagoensis
0;Kalanchoe pinnata
0;Laburnum anagyroides
0;Lagarosiphon major
0;Lagurus ovatus
0;Landoltia punctata
0;Lantana camara
0;Lapsana communis subsp. intermedia
0;Lathyrus heterophyllus
0;Lathyrus incurvus
0;Lathyrus latifolius
0;Laurus nobilis
0;Lavandula dentata
0;Lemna minuta
0;Lemna turionifera
0;Lepidium densiflorum
0;Lepidium didymum
0;Lepidium draba
0;Lepidium graminifolium
0;Lepidium ruderale
0;Lepidium virginicum
0;Leucaena leucocephala
0;Leycesteria formosa
0;Ligustrum lucidum
0;Ligustrum ovalifolium
0;Ligustrum robustum
0;Linaria vulgaris
0;Lindernia dubia
0;Liquidambar styraciflua
0;Litsea glutinosa
0;Lonicera caprifolium
0;Lonicera japonica
0;Lophospermum erubescens
0;Ludwigia grandiflora
0;Ludwigia peploides
0;Lunaria annua
0;Lupinus polyphyllus
0;Lupinus x regalis
0;Luzula campestris
0;Lycium barbarum
0;Lycium europaeum
0;Lysichiton americanus
0;Lythrum salicaria
0;Magnolia champaca
0;Mahonia aquifolium
0;Malephora crocea
0;Malva parviflora
0;Mariscus rigens
0;Marsilea drummondii
0;Matricaria discoidea
0;Medicago arborea
0;Medicago sativa
0;Melaleuca quinquenervia
0;Melinis minutiflora
0;Merremia tuberosa
0;Miconia calvescens
0;Microlaena stipoides
0;Mikania micrantha
0;Mimosa pigra
0;Mimulus guttatus
0;Mirabilis jalapa
0;Miscanthus sinensis
0;Moneses uniflora
0;Montanoa hibiscifolia
0;Morella faya
0;Morus alba
0;Murraya paniculata
0;Myoporum laetum
0;Myriophyllum aquaticum
0;Myriophyllum heterophyllum
0;Myrrhis odorata
0;Najas gracillima
0;Najas indica
0;Nassella neesiana
0;Nassella tenuissima
